"Date","Price","Open","High","Low","Vol.","Change %"
"27-09-2023","155,937","158,242","158,502","155,806","","-1.40%"
"26-09-2023","158,153","159,278","159,452","158,116","","-0.63%"
"25-09-2023","159,161","159,747","160,160","159,204","","-0.35%"
"22-09-2023","159,716","159,607","160,061","159,158","","0.17%"
"21-09-2023","159,447","160,072","160,535","159,069","","-0.35%"
"20-09-2023","160,012","160,887","161,529","159,975","","-0.52%"
"19-09-2023","160,845","161,097","161,270","160,718","","-0.10%"
"18-09-2023","161,001","159,874","161,148","159,743","","0.73%"
"15-09-2023","159,836","158,675","160,487","158,566","","0.79%"
"14-09-2023","158,581","158,280","158,803","157,846","","0.34%"
"13-09-2023","158,045","158,562","158,937","158,091","","-0.29%"
"12-09-2023","158,512","159,249","159,786","158,118","","-0.50%"
"11-09-2023","159,304","159,351","160,120","159,163","","0.03%"
"08-09-2023","159,263","159,736","160,271","159,201","","-0.18%"
"07-09-2023","159,557","159,513","160,072","159,394","","0.08%"
"06-09-2023","159,421","159,949","160,388","159,345","","-0.30%"
"05-09-2023","159,897","160,418","160,818","159,873","","-0.26%"
"04-09-2023","160,317","160,474","161,064","160,176","","-0.02%"
"01-09-2023","160,349","160,430","161,396","159,925","","-0.04%"
"31-08-2023","160,412","160,470","161,157","160,378","","0.00%"
"30-08-2023","160,418","160,039","160,971","159,879","","0.29%"
"29-08-2023","159,962","158,663","160,106","158,461","","0.91%"
"28-08-2023","158,518","158,393","159,156","158,053","","0.19%"
"25-08-2023","158,217","158,310","158,822","157,329","","-0.02%"
"24-08-2023","158,251","158,033","158,821","157,867","","0.23%"
"23-08-2023","157,884","157,568","158,520","157,225","","0.23%"
"22-08-2023","157,524","157,479","158,065","156,780","","0.10%"
"21-08-2023","157,366","157,137","157,891","156,683","","0.21%"
"18-08-2023","157,034","157,019","157,844","156,871","","0.08%"
"17-08-2023","156,901","157,439","158,113","156,658","","-0.30%"
"16-08-2023","157,374","158,321","158,988","157,428","","-0.54%"
"15-08-2023","158,228","158,639","159,174","158,082","","-0.22%"
"14-08-2023","158,584","158,638","159,263","158,347","","0.02%"
"11-08-2023","158,557","158,037","159,128","157,927","","0.37%"
"10-08-2023","157,969","158,651","159,567","158,024","","-0.37%"
"09-08-2023","158,553","159,443","160,045","158,620","","-0.59%"
"08-08-2023","159,491","160,307","160,435","159,374","","-0.42%"
"07-08-2023","160,158","160,644","160,993","159,823","","-0.26%"
"04-08-2023","160,582","160,054","161,030","159,888","","0.40%"
