"Agre emen t Num
ber",Disb urse ment Date,"Loa n Am ou
nt",Numb er of Orna ments,"Gross Weight of Ornamen
ts( gm)","Au ctio n Dat
e",Auction Place,Branch Address,
"P489 GOL5 8626
13","02-
Nov- 22","624
9",1,2.14,"15-
Jan
-24",AKOLA KHADAN ROAD GL,,
P489 GOL5,"03-
Nov-
22","100
54",1,3.37,"15-
Jan
-24","AKOLA KHADAN
ROAD GL",,
"8684
28",,,,,,,,
"P489 GOL5 8719
10","03-
Nov- 22","197
49",1,6.24,"15-
Jan
-24",AKOLA KHADAN ROAD GL,,
"P489 GOL5 8772
30","04-
Nov- 22","661
15",1,30.23,"15-
Jan
-24",AKOLA KHADAN ROAD GL,,
"P489 GOL5 9460
41","12-
Nov- 22","172
49",2,5.7,"15-
Jan
-24",AKOLA KHADAN ROAD GL,,
"P489 GOL5 9694
10","15-
Nov- 22","127
349",7,40.11,"15-
Jan
-24",AKOLA KHADAN ROAD GL,,
"P489 GOL5 9675
47","15-
Nov- 22","112
49",1,3.66,"15-
Jan
-24",AKOLA KHADAN ROAD GL,,
"P489 GOL5 9773
00","16-
Nov- 22","162
49",1,5.1,"15-
Jan
-24",AKOLA KHADAN ROAD GL,,
"P489 GOL6 0024
89","19-
Nov- 22","482
49",1,14,"15-
Jan
-24",AKOLA KHADAN ROAD GL,,
"PYB5 PFI58 6697
6","03-
Nov- 22","121
49",1,5.4,"15-
Jan
-24",Akola RJ,"Ground Floor, Near Maharaja Restaurant, Nakoda Nagar, Fatehnagar Road, Akola, Rajasthan- 312205",
"PYB5 PFI58 8531
5","05-
Nov- 22","531
49",2,19.6,"15-
Jan
-24",Akola RJ,,
"P4R3 GOL5 8609
08","02-
Nov- 22","186
49",1,5.5,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,"Bajaj Finance LTD.Yogiraj? Lakadganj, Beside Akola Urban Co- operative Bank, Akot, Akola, Maharashtra-444101",
"P4R3 GOL5 8604
49","02-
Nov- 22","131
349",2,38.2,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
"P4R3 GOL5 8703
39","03-
Nov- 22","292
49",1,8.8,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
"P4R3 GOL5 8974
22","07-
Nov- 22","129
349",4,38.4,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
"P4R3 GOL5 8947
24","07-
Nov- 22","302
49",2,9.6,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
"P4R3 GOL5 9046
41","08-
Nov- 22","201
62",3,9.5,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
P4R3 GOL5,"08-
Nov-
22","133
19",1,7.3,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
"9069
86",,,,,,,,
"P4R3 GOL5 9477
94","12-
Nov- 22","752
49",4,30.38,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
